driver,compound,median_s,year,round,race_name,is_street,tenure_race,season_2024
OCO,MEDIUM,97.0745,2024,4,Japanese Grand Prix,,,
GAS,HARD,92.981,2024,6,Miami Grand Prix,,,
GAS,MEDIUM,94.1725,2024,6,Miami Grand Prix,,,
OCO,HARD,92.521,2024,6,Miami Grand Prix,,,
OCO,MEDIUM,94.0815,2024,6,Miami Grand Prix,,,
GAS,HARD,82.3435,2024,7,Emilia Romagna Grand Prix,,,
GAS,MEDIUM,82.187,2024,7,Emilia Romagna Grand Prix,,,
GAS,SOFT,82.59450000000001,2024,7,Emilia Romagna Grand Prix,,,
OCO,HARD,82.5535,2024,7,Emilia Romagna Grand Prix,,,
OCO,MEDIUM,83.006,2024,7,Emilia Romagna Grand Prix,,,
GAS,MEDIUM,80.2145,2024,8,Monaco Grand Prix,,,
GAS,HARD,79.3965,2024,9,Canadian Grand Prix,,,
GAS,INTERMEDIATE,88.933,2024,9,Canadian Grand Prix,,,
OCO,INTERMEDIATE,88.21000000000001,2024,9,Canadian Grand Prix,,,
OCO,MEDIUM,78.8425,2024,9,Canadian Grand Prix,,,
GAS,HARD,79.576,2024,10,Spanish Grand Prix,,,
GAS,MEDIUM,80.7935,2024,10,Spanish Grand Prix,,,
GAS,SOFT,81.482,2024,10,Spanish Grand Prix,,,
OCO,HARD,79.6565,2024,10,Spanish Grand Prix,,,
OCO,MEDIUM,81.23150000000001,2024,10,Spanish Grand Prix,,,
OCO,SOFT,81.756,2024,10,Spanish Grand Prix,,,
GAS,HARD,71.6315,2024,11,Austrian Grand Prix,,,
GAS,MEDIUM,71.138,2024,11,Austrian Grand Prix,,,
OCO,HARD,71.69749999999999,2024,11,Austrian Grand Prix,,,
OCO,MEDIUM,71.106,2024,11,Austrian Grand Prix,,,
OCO,MEDIUM,91.187,2024,12,British Grand Prix,,,
OCO,SOFT,93.898,2024,12,British Grand Prix,,,
GAS,HARD,85.7185,2024,13,Hungarian Grand Prix,,,
GAS,MEDIUM,83.446,2024,13,Hungarian Grand Prix,,,
OCO,HARD,84.988,2024,13,Hungarian Grand Prix,,,
OCO,MEDIUM,86.35900000000001,2024,13,Hungarian Grand Prix,,,
OCO,SOFT,82.7715,2024,13,Hungarian Grand Prix,,,
GAS,HARD,109.3115,2024,14,Belgian Grand Prix,,,
GAS,MEDIUM,111.092,2024,14,Belgian Grand Prix,,,
OCO,HARD,108.745,2024,14,Belgian Grand Prix,,,
OCO,MEDIUM,111.0085,2024,14,Belgian Grand Prix,,,
GAS,HARD,75.565,2024,15,Dutch Grand Prix,,,
GAS,MEDIUM,77.043,2024,15,Dutch Grand Prix,,,
OCO,HARD,75.941,2024,15,Dutch Grand Prix,,,
OCO,MEDIUM,77.69,2024,15,Dutch Grand Prix,,,
GAS,HARD,85.105,2024,16,Italian Grand Prix,,,
GAS,MEDIUM,86.43,2024,16,Italian Grand Prix,,,
OCO,HARD,86.297,2024,16,Italian Grand Prix,,,
OCO,MEDIUM,84.89349999999999,2024,16,Italian Grand Prix,,,
GAS,HARD,109.643,2024,17,Azerbaijan Grand Prix,,,
OCO,HARD,110.349,2024,17,Azerbaijan Grand Prix,,,
GAS,HARD,101.84899999999999,2024,5,Chinese Grand Prix,0.0,27.0,1.0
GAS,MEDIUM,100.77799999999999,2024,5,Chinese Grand Prix,0.0,27.0,1.0
OCO,HARD,101.567,2024,5,Chinese Grand Prix,0.0,27.0,1.0
OCO,MEDIUM,103.105,2024,5,Chinese Grand Prix,0.0,27.0,1.0
GAS,MEDIUM,99.98,2024,18,Singapore Grand Prix,1.0,40.0,1.0
GAS,SOFT,97.971,2024,18,Singapore Grand Prix,1.0,40.0,1.0
OCO,HARD,98.512,2024,18,Singapore Grand Prix,1.0,40.0,1.0
OCO,MEDIUM,99.512,2024,18,Singapore Grand Prix,1.0,40.0,1.0
GAS,HARD,100.435,2024,19,United States Grand Prix,0.0,41.0,1.0
GAS,MEDIUM,101.306,2024,19,United States Grand Prix,0.0,41.0,1.0
OCO,HARD,100.043,2024,19,United States Grand Prix,0.0,41.0,1.0
OCO,MEDIUM,101.7185,2024,19,United States Grand Prix,0.0,41.0,1.0
OCO,SOFT,99.993,2024,19,United States Grand Prix,0.0,41.0,1.0
GAS,HARD,82.029,2024,20,Mexico City Grand Prix,0.0,42.0,1.0
GAS,MEDIUM,83.303,2024,20,Mexico City Grand Prix,0.0,42.0,1.0
OCO,HARD,83.512,2024,20,Mexico City Grand Prix,0.0,42.0,1.0
OCO,MEDIUM,81.278,2024,20,Mexico City Grand Prix,0.0,42.0,1.0
GAS,INTERMEDIATE,84.2255,2024,21,São Paulo Grand Prix,0.0,43.0,1.0
OCO,INTERMEDIATE,84.37,2024,21,São Paulo Grand Prix,0.0,43.0,1.0
GAS,HARD,98.621,2024,22,Las Vegas Grand Prix,1.0,44.0,1.0
GAS,MEDIUM,99.6515,2024,22,Las Vegas Grand Prix,1.0,44.0,1.0
OCO,HARD,98.931,2024,22,Las Vegas Grand Prix,1.0,44.0,1.0
OCO,MEDIUM,99.898,2024,22,Las Vegas Grand Prix,1.0,44.0,1.0
OCO,SOFT,96.649,2024,22,Las Vegas Grand Prix,1.0,44.0,1.0
GAS,HARD,84.082,2024,23,Qatar Grand Prix,0.0,45.0,1.0
GAS,MEDIUM,86.604,2024,23,Qatar Grand Prix,0.0,45.0,1.0
GAS,HARD,89.571,2024,24,Abu Dhabi Grand Prix,0.0,46.0,1.0
GAS,MEDIUM,89.87899999999999,2024,24,Abu Dhabi Grand Prix,0.0,46.0,1.0
